user_id,day,source,code,title,message,severity
1,2025-08-28,ml,want_spike,High want-spending today,You are spending mostly on 'want' items today. Keep an eye on discretionary habits.,info
1,2025-08-28,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-08-29,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-02,ml,overspend_day,Daily overspending alert,"You spent $125 today, which is much higher than your usual daily average of $80.",warn
1,2025-09-02,ml,early_cycle_overspend,Heavy spending early in pay cycle,"You're spending much faster than usual early in your pay cycle. If this continues, your money may not last until your next payday.",warn
1,2025-09-04,ml,overspend_day,Daily overspending alert,"You spent $185 today, which is much higher than your usual daily average of $76.",warn
1,2025-09-04,ml,early_cycle_overspend,Heavy spending early in pay cycle,"You're spending much faster than usual early in your pay cycle. If this continues, your money may not last until your next payday.",warn
1,2025-09-04,ml,risk_overspend,High overspending risk,You are at high risk of overspending based on your recent financial behavior.,critical
1,2025-09-04,ml,want_spike,High want-spending today,You are spending mostly on 'want' items today. Keep an eye on discretionary habits.,info
1,2025-09-04,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-05,ml,overspend_day,Daily overspending alert,"You spent $315 today, which is much higher than your usual daily average of $102.",warn
1,2025-09-05,ml,early_cycle_overspend,Heavy spending early in pay cycle,"You're spending much faster than usual early in your pay cycle. If this continues, your money may not last until your next payday.",warn
1,2025-09-05,ml,risk_overspend,High overspending risk,You are at high risk of overspending based on your recent financial behavior.,critical
1,2025-09-05,ml,want_spike,High want-spending today,You are spending mostly on 'want' items today. Keep an eye on discretionary habits.,info
1,2025-09-05,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-06,ml,risk_guilt_spending,High guilt-based spending risk,Your spending shows patterns of emotional or guilt-driven purchases.,warn
1,2025-09-06,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-08,ml,want_spike,High want-spending today,You are spending mostly on 'want' items today. Keep an eye on discretionary habits.,info
1,2025-09-08,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-10,ml,risk_guilt_spending,High guilt-based spending risk,Your spending shows patterns of emotional or guilt-driven purchases.,warn
1,2025-09-10,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-11,ml,overspend_day,Daily overspending alert,"You spent $372 today, which is much higher than your usual daily average of $122.",warn
1,2025-09-11,ml,risk_overspend,High overspending risk,You are at high risk of overspending based on your recent financial behavior.,critical
1,2025-09-13,ml,risk_guilt_spending,High guilt-based spending risk,Your spending shows patterns of emotional or guilt-driven purchases.,warn
1,2025-09-13,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-15,ml,overspend_day,Daily overspending alert,"You spent $149 today, which is much higher than your usual daily average of $92.",warn
1,2025-09-15,ml,risk_overspend,High overspending risk,You are at high risk of overspending based on your recent financial behavior.,critical
1,2025-09-15,ml,risk_guilt_spending,High guilt-based spending risk,Your spending shows patterns of emotional or guilt-driven purchases.,warn
1,2025-09-15,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-16,ml,want_spike,High want-spending today,You are spending mostly on 'want' items today. Keep an eye on discretionary habits.,info
1,2025-09-16,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-19,ml,risk_guilt_spending,High guilt-based spending risk,Your spending shows patterns of emotional or guilt-driven purchases.,warn
1,2025-09-19,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
1,2025-09-20,ml,risk_guilt_spending,High guilt-based spending risk,Your spending shows patterns of emotional or guilt-driven purchases.,warn
1,2025-09-20,ml,emotional_spending,Emotional spending detected,You may be engaging in emotional spending today (wants + guilt are high).,info
